640	100	1200	50	1000	200	800	700	
800.355259259	792.189866667	156.650816667	1475.5325	132.8768	1217.9656	251.897216667	989.3884	
534.451206897	153.108791667	262.5516	136.511291667	1209.37933333	258.771555556	999.721608696	323.709307692	
795.1277	153.131072727	1484.48083333	138.458818182	901.292673077	512.435271186	391.192537037	326.700245614	
792.232983333	152.833	1479.234	136.237733333	1225.07536667	255.11425	987.659466667	873.2718	
792.09585	152.903316667	1478.90508333	136.038216667	1225.07486667	255.12695	987.514666667	873.4844	
792.0161	152.967783333	1478.6022	135.856083333	1225.03235	255.13965	987.446833333	873.697	
791.94725	152.993516667	1478.29931667	135.6881	1224.9745	255.15235	987.426083333	873.9096	
791.909883333	153.038733333	1477.99643333	135.52905	1224.91665	255.162666667	987.388383333	874.1222	
791.957416667	153.08395	1477.74098333	135.37	1224.77566667	255.172983333	987.350683333	874.298133333	
792.00495	153.129166667	1477.48553333	135.20285	1224.63468333	255.1833	987.38235	874.4577	
792.052483333	153.17845	1477.23008333	135.034966667	1224.4931	255.213766667	987.431416667	874.648816667	
792.086033333	153.206233333	1476.99755	134.862066667	1224.34243333	255.244233333	987.503883333	874.859166667	
792.119583333	153.210733333	1476.75116667	134.689166667	1224.17236667	255.260133333	987.57635	875.069516667	
792.1334	153.21985	1476.50478333	134.516266667	1224.0023	255.24695	987.738316667	875.21795	
792.074216667	153.228966667	1476.33383333	134.347266667	1223.83223333	255.207416667	987.900283333	875.343983333	
792.015033333	153.292	1476.16288333	134.213783333	1223.65723333	255.1308	988.080266667	875.41795	
791.95585	153.404616667	1475.99193333	134.0803	1223.46871667	255.02875	988.30725	875.491916667	
791.893516667	153.515683333	1475.83791667	133.946816667	1223.13165	254.858783333	988.534233333	875.565883333	
791.862716667	153.62675	1475.6839	133.813333333	1222.99368333	254.688816667	988.761216667	875.548166667	
791.81065	153.689316667	1475.52988333	133.719733333	1222.85696667	254.514883333	989.01675	875.53045	
791.758583333	153.751883333	1475.35993333	133.626133333	1222.6924	254.34535	989.4001	875.512733333	
791.706516667	153.903	1475.18998333	133.532533333	1222.52783333	254.175816667	989.78345	875.481133333	
791.632883333	153.9109	1475.02003333	133.4644	1222.36326667	254.006283333	990.1668	875.415416667	
791.55925	153.92895	1474.87476667	133.3719	1222.1987	253.864333333	990.55015	875.2925	
791.499666667	153.947	1474.77356667	133.2794	1222.03413333	253.801766667	990.908366667	875.23265	
791.443716667	153.96505	1474.67236667	133.1807	1221.8701	253.7392	991.195516667	875.1728	
791.4272	153.9124	1474.57116667	133.037883333	1221.7252	253.676633333	991.45315	875.11295	
791.404883333	153.886066667	1474.46996667	132.895066667	1221.61591667	253.627633333	991.686116667	875.0531	
791.371083333	153.859733333	1474.39006667	132.7569	1221.50805	253.578633333	991.8944	875.042566667	
791.373633333	153.862533333	1474.33868333	132.63905	1221.40018333	253.529633333	992.00595	875.038083333	
791.414416667	153.897566667	1474.2873	132.5212	1220.86775	253.480633333	992.05955	875.034466667	
791.4552	154.02715	1474.23591667	132.427866667	1220.83115	253.431633333	992.11315	875.03085	
791.495983333	154.1073	1474.18453333	132.369666667	1220.83306667	253.3461	992.0773	875.0536	
791.553333333	154.27945	1474.13315	132.298633333	1220.83755	253.24615	992.00755	875.004733333	
791.619416667	154.4516	1474.08176667	132.30495	1220.83468333	253.1462	991.918966667	874.957416667	
791.6666	154.62375	1474.04183333	132.311266667	1220.82838333	253.024366667	991.830383333	874.931916667	
791.70935	154.96805	1474.0431	132.3062	1220.8176	252.902533333	991.7418	874.926183333	
791.7521	155.1402	1474.06521667	132.3329	1220.8027	252.77885	991.536233333	874.9495	
791.79485	155.31235	1474.09125	132.361416667	1220.75781667	252.650366667	991.330666667	874.972816667	
791.876783333	155.4845	1474.12521667	132.389933333	1220.70168333	252.521883333	991.1251	874.996133333	
791.971183333	155.65665	1474.19206667	132.387516667	1220.55115	252.3934	990.934583333	875.01945	
792.065583333	155.914633333	1474.25891667	132.382483333	1220.37156667	252.322933333	990.744066667	875.0667	
792.0593	155.97205	1474.32576667	132.37745	1220.17511667	252.254183333	990.55355	875.11395	
792.049766667	156.055783333	1474.45388333	132.372416667	1219.97866667	252.20595	990.380216667	875.1612	
792.034883333	156.139516667	1474.5986	132.36905	1219.7782	252.164083333	990.206883333	875.254633333	
792.038	156.22325	1474.75081667	132.396833333	1219.50176667	252.122216667	990.03355	875.361933333	
792.063316667	156.385666667	1474.90303333	132.508333333	1219.22533333	252.08035	989.899733333	875.441816667	
792.110983333	156.432016667	1475.05525	132.60045	1218.9489	252.039216667	989.778833333	875.5217	
792.170583333	156.524716667	1475.20746667	132.692566667	1218.62113333	251.991883333	989.640916667	875.601583333	
792.230183333	156.571066667	1475.36998333	132.784683333	1218.29336667	251.94455	989.503	875.681466667	
